id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7abHJG1VIsuKh6w58KesRY,43,False,79,1,2018-09-07,1,0.833,0.717,7,-4.551,0,0.0606,0.426,0.0,0.098,0.684,94.019,187355,4
4nGdBFtVLJJO9CDfTatrjh,11,False,1,1,2018-11-23,3,0.618,0.619,7,-9.479,1,0.0296,0.0171,0.283,0.0846,0.133,109.024,222400,4
5dg1IuhKJlqicUOEPJMqOj,33,False,79,1,2017-03-03,1,0.806,0.569,7,-6.573,0,0.0324,0.0502,0.0703,0.0818,0.0863,121.984,319784,4
2oHb51wRxh6UZJoqyd9llM,26,False,79,10,2017-05-19,2,0.671,0.659,7,-7.1,1,0.0364,0.00202,0.801,0.138,0.316,115.005,294653,4
6zOQHnjsgwMMxsuN7zTGRE,0,False,0,1,2018-06-22,2,0.787,0.743,8,-11.977,0,0.0312,0.103,0.043,0.208,0.913,122.986,238846,4
12Gbz1qkaCAFPGlYVVw6xZ,38,False,3,4,2006-11-14,1,0.651,0.77,0,-8.08,0,0.0274,0.081,6.54e-05,0.114,0.738,112.923,253587,4
4jNQkWhuzqrbqQuqanFFJ6,60,False,77,1,2010-04-12,1,0.333,0.114,9,-21.255,1,0.0453,0.906,0.96,0.119,0.0566,141.839,165160,4
1UF0LHvbTWrgVuQOBiAIYP,3,False,0,2,2010-06-30,1,0.302,0.704,7,-6.851,1,0.0384,0.0174,0.00166,0.36,0.3,166.66,308741,4
2bidSVRvAhQYVrr8E6zdyN,35,False,74,7,2014-11-17,1,0.748,0.752,5,-6.835,0,0.0724,0.0189,5.2e-06,0.119,0.746,86.004,256413,4
3tscRPM6BjVapmT8u3cBOZ,30,False,79,1,2019-04-10,2,0.755,0.305,6,-12.461,0,0.0469,0.521,3.65e-05,0.0577,0.34,129.98,258923,4
2zlOCBcS1CCIUkgpz78ahY,41,False,47,4,2015-07-17,1,0.577,0.731,7,-7.028,0,0.0313,0.238,0.884,0.288,0.308,138.251,256809,4
1RRS9H7wTZ0Sgl2FwpKHdP,45,False,79,1,2017-12-01,1,0.462,0.717,5,-6.769,0,0.0272,0.0114,0.502,0.114,0.0779,144.962,168324,4
1mTlYQ5zMEniInmLrHbMkY,24,False,77,6,2014-10-13,1,0.266,0.62,9,-5.531,0,0.0415,0.0211,0.211,0.086,0.0392,179.75,256280,4
3f56kKYqrscMfZaBHlLLHM,43,False,77,4,2011-05-05,1,0.221,0.481,7,-9.104,0,0.0613,0.17,0.121,0.173,0.267,49.429,286827,4
1U8cqMaKrwCS9N6BZyUxr9,32,False,78,12,2015-08-14,1,0.556,0.363,7,-8.731,1,0.0282,0.613,0.000592,0.102,0.16,139.921,231453,4
5oR6I8LHY77Zu6HkVOwAa1,1,False,0,1,2018-03-09,1,0.677,0.872,0,-3.832,0,0.0372,0.0713,0.136,0.0855,0.857,100.033,230558,4
0RKTuuMsapZAgeNPApGrlE,24,False,79,1,2018-08-03,1,0.709,0.556,6,-7.595,0,0.0442,0.0627,0.0114,0.0886,0.315,102.053,169418,4
66Dsk9as7c39WNUdOOES9r,32,False,1,8,2016-03-18,1,0.497,0.712,0,-7.287,1,0.0913,0.112,0.0247,0.187,0.596,82.303,210653,4
4ntwqHpcvGYPfE8kESEAtz,29,False,2,4,2016-03-25,1,0.778,0.751,3,-6.812,1,0.0434,0.124,0.428,0.0733,0.964,139.979,288200,4
